model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,n_neighbors,weights,p,distance
kNN k=31 distance Manhattan,836,659,570,3569,0.7818601348952786,0.7107414503204286,0.5945945945945946,0.5591973244147157,0.8622855762261415,0.5763529817304378,0.8137937443083614,0.5817230325249837,0.24955626553070642,0.2653532126375577,31,distance,1,Manhattan
kNN k=31 distance Euclidean,840,655,550,3589,0.786119985800497,0.7144952854849175,0.60431654676259,0.5618729096989966,0.8671176612708383,0.5823223570190641,0.8182011230153504,0.5898490469061053,0.24671636492722754,0.2653532126375577,31,distance,2,Euclidean
kNN k=51 uniform Manhattan,878,617,535,3604,0.7955271565495208,0.7290163474770133,0.6213729653220099,0.5872909698996656,0.870741725054361,0.6038514442916093,0.8351299047077276,0.6225673246701938,0.2507987220447284,0.2653532126375577,51,uniform,1,Manhattan
kNN k=51 uniform Euclidean,864,631,524,3615,0.7949946751863685,0.7256628966168133,0.622478386167147,0.5779264214046823,0.8733993718289442,0.5993756503642039,0.8347569129925717,0.6206798258496465,0.2463613773517927,0.2653532126375577,51,uniform,2,Euclidean
kNN k=51 distance Manhattan,841,654,564,3575,0.7838125665601704,0.7131385038798088,0.598576512455516,0.5625418060200669,0.8637352017395507,0.58,0.8190025380567099,0.5914790382970689,0.249378771742989,0.2653532126375577,51,distance,1,Manhattan
kNN k=51 distance Euclidean,839,656,559,3580,0.7843450479233227,0.7130736181893256,0.600143061516452,0.5612040133779265,0.8649432230007248,0.5800207397165572,0.8220346310202082,0.596256883347471,0.24813631522896698,0.2653532126375577,51,distance,2,Euclidean
kNN k=75 uniform Manhattan,861,634,533,3606,0.7928647497337593,0.7235723330001511,0.6176470588235294,0.5759197324414715,0.8712249335588307,0.5960539979231568,0.835875645725746,0.6241981687292726,0.24742634007809727,0.2653532126375577,75,uniform,1,Manhattan
kNN k=75 uniform Euclidean,858,637,514,3625,0.7957046503372383,0.7248642289147768,0.6253644314868805,0.5739130434782609,0.8758154143512926,0.598535054063481,0.8366705964392867,0.6256107882174446,0.24352147674831381,0.2653532126375577,75,uniform,2,Euclidean
kNN k=75 distance Manhattan,840,655,557,3582,0.784877529286475,0.7136496706020956,0.6012884753042234,0.5618729096989966,0.8654264315051945,0.5809128630705395,0.8213955514112032,0.5941163080108524,0.24795882144124956,0.2653532126375577,75,distance,1,Manhattan
kNN k=75 distance Euclidean,843,652,539,3600,0.788604898828541,0.7168274533538145,0.6099855282199711,0.5638795986622074,0.8697753080454216,0.5860271115745568,0.8249700014787149,0.6003960074935526,0.2452964146254881,0.2653532126375577,75,distance,2,Euclidean
kNN k=101 uniform Manhattan,854,641,530,3609,0.7921547745828896,0.7215936022547575,0.6170520231213873,0.57123745819398,0.8719497463155351,0.5932615491490101,0.8361056949920044,0.6276389316175781,0.24565140220092296,0.2653532126375577,101,uniform,1,Manhattan
kNN k=101 uniform Euclidean,842,653,510,3629,0.793574724884629,0.7199962668506845,0.6227810650887574,0.5632107023411371,0.8767818313602319,0.5914998243765367,0.836404023720851,0.6265458949264558,0.23997160099396522,0.2653532126375577,101,uniform,2,Euclidean
kNN k=101 distance Manhattan,842,653,557,3582,0.7852325168619099,0.7143185669231658,0.6018584703359543,0.5632107023411371,0.8654264315051945,0.5818935729094679,0.8228905080234429,0.5973404486807468,0.24831380901668443,0.2653532126375577,101,distance,1,Manhattan
kNN k=101 distance Euclidean,840,655,540,3599,0.7878949236776713,0.7157033067460916,0.6086956521739131,0.5618729096989966,0.8695337037931867,0.5843478260869566,0.8262397570705606,0.6026119538530706,0.24494142705005326,0.2653532126375577,101,distance,2,Euclidean
