threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1464,31,2871,1268,0.4849130280440185,0.6428092029402995,0.33771626297577856,0.9792642140468227,0.30635419183377627,0.5022298456260721,0.7694355697550586,0.2653532126375577
0.1,1407,88,2134,2005,0.6056088036918708,0.7127768247383361,0.3973453826602655,0.9411371237458194,0.48441652573085286,0.5587768069896744,0.6285055023074192,0.2653532126375577
0.15,1334,161,1642,2497,0.679978700745474,0.7477967550690431,0.448252688172043,0.8923076923076924,0.6032858178303938,0.5967345112950123,0.5282215122470714,0.2653532126375577
0.2,1239,256,1264,2875,0.7302094426695066,0.7616873834905915,0.49500599280862967,0.82876254180602,0.6946122251751631,0.6198099049524762,0.444266950656727,0.2653532126375577
0.25,1159,336,1024,3115,0.7586084487042953,0.7639240409159629,0.5309207512597343,0.7752508361204014,0.7525972457115245,0.6302338227297444,0.3874689385871494,0.2653532126375577
0.3,1088,407,860,3279,0.7751153709620163,0.7599897702012264,0.5585215605749486,0.7277591973244147,0.7922203430780381,0.6320069706651177,0.3457578984735534,0.2653532126375577
0.35,1018,477,726,3413,0.7864749733759319,0.7527658838635025,0.5837155963302753,0.6809364548494983,0.8245953128775066,0.6285890707008336,0.3095491657791977,0.2653532126375577
0.4,935,560,603,3536,0.793574724884629,0.7398653480515305,0.6079323797139142,0.6254180602006689,0.8543126359023919,0.6165512693702605,0.2729854455094072,0.2653532126375577
0.45,848,647,496,3643,0.7971246006389776,0.7236941855795391,0.6309523809523809,0.5672240802675586,0.8801642908915197,0.597393448397323,0.23855165069222578,0.2653532126375577
0.5,769,726,384,3755,0.8029818956336529,0.7108026190224159,0.6669557675628794,0.51438127090301,0.9072239671418217,0.5808157099697885,0.20465033723819667,0.2653532126375577
0.55,676,819,297,3842,0.8019169329073482,0.6902087250648655,0.6947584789311408,0.45217391304347826,0.9282435370862527,0.5478119935170178,0.1727014554490593,0.2653532126375577
0.6,552,943,228,3911,0.7921547745828896,0.657072499860613,0.7076923076923077,0.36923076923076925,0.9449142304904566,0.48527472527472526,0.13844515441959532,0.2653532126375577
0.65,437,1058,145,3994,0.7864749733759319,0.6286375378668203,0.7508591065292096,0.2923076923076923,0.9649673834259483,0.4207992296581608,0.1033013844515442,0.2653532126375577
0.7,330,1165,98,4041,0.775825346112886,0.5985292846170815,0.7710280373831776,0.22073578595317725,0.9763227832809858,0.34321372854914195,0.07596734114305999,0.2653532126375577
0.75,197,1298,38,4101,0.7628682996095136,0.5612958068329561,0.8382978723404255,0.13177257525083613,0.9908190384150761,0.2277456647398844,0.041711040113596026,0.2653532126375577
0.8,77,1418,10,4129,0.7465388711395101,0.5245444871000298,0.8850574712643678,0.05150501672240803,0.9975839574776516,0.09734513274336283,0.0154419595314164,0.2653532126375577
0.85,18,1477,1,4138,0.7376641817536386,0.5058992647635147,0.9473684210526315,0.012040133779264214,0.9997583957477651,0.023778071334214,0.0033723819666311677,0.2653532126375577
0.9,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
0.95,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
