family,selected_model,selection_rule,selected_C,selected_loss,selected_gamma,selected_class_weight,mean_cv_pr_auc,mean_cv_roc_auc,mean_cv_balanced_accuracy,mean_cv_f1
LinearSVC,LinearSVC loss=squared_hinge C=0.1 class_weight=balanced,"highest mean CV PR-AUC, then balanced accuracy, then F1",0.1,squared_hinge,,balanced,0.6593917541950179,0.8452767287992886,0.76478724369871,0.6266998965015469
RBF SVC,RBF SVC C=10.0 gamma=0.001 class_weight=balanced,"highest mean CV PR-AUC, then balanced accuracy, then F1",10.0,,0.001,balanced,0.6594970334407602,0.842408164099407,0.7463919545513573,0.6003499187796859
