stage,model,fold,split,architecture,activation,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,random_state,fit_time_seconds,score_time_seconds,convergence_warning_count,n_iter,final_loss,best_internal_validation_accuracy,trainable_parameter_count,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,1,train,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.2752139000222087,0.021996599971316755,0,31,0.3989799168611939,0.8168389955686853,769,617,579,275,3036,0.8105169735966274,0.7164149046100512,0.6917040358744395,0.5158862876254181,0.9169435215946844,0.5909961685823755,0.8506376080946353,0.6730237529478797,0.19791435544708233,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,1,validation,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.2752139000222087,0.021996599971316755,0,31,0.3989799168611939,0.8168389955686853,769,147,152,73,755,0.8003549245785271,0.7017372723894464,0.6681818181818182,0.4916387959866221,0.9118357487922706,0.5664739884393064,0.8437262695296721,0.6502868337776724,0.19520851818988466,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,2,train,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.24913290003314614,0.020328199956566095,0,24,0.3973650101986051,0.7991137370753324,769,649,547,318,2993,0.8080763257155535,0.7232993245379494,0.671147880041365,0.5426421404682275,0.9039565086076714,0.6000924641701341,0.8426194634485837,0.6592145087502771,0.21455513645440427,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,2,validation,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.24913290003314614,0.020328199956566095,0,24,0.3973650101986051,0.7991137370753324,769,145,154,100,728,0.774622892635315,0.6820884429580082,0.5918367346938775,0.48494983277591974,0.8792270531400966,0.5330882352941176,0.8178085567026966,0.6279979485786301,0.21739130434782608,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,3,train,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.2665657999459654,0.018879099981859326,0,30,0.402107101543593,0.8227474150664698,769,624,572,288,3023,0.8091857111160418,0.7173781728887897,0.6842105263157895,0.5217391304347826,0.9130172153427968,0.5920303605313093,0.8510214507433922,0.6652716373384727,0.20235189704903483,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,3,validation,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.2665657999459654,0.018879099981859326,0,30,0.402107101543593,0.8227474150664698,769,147,152,72,756,0.8012422360248447,0.7023411371237458,0.6712328767123288,0.4916387959866221,0.9130434782608695,0.5675675675675675,0.8398162958654453,0.6840389367159948,0.19432120674356698,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,4,train,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.24989340000320226,0.026920199976302683,0,28,0.4086781529519502,0.8064992614475628,769,636,560,319,2992,0.8049700465941868,0.717713530150335,0.6659685863874345,0.5317725752508361,0.9036544850498339,0.5913528591352859,0.8434870235931915,0.661580771925872,0.21189261149323274,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,4,validation,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.24989340000320226,0.026920199976302683,0,28,0.4086781529519502,0.8064992614475628,769,182,117,92,736,0.8145519077196096,0.748792270531401,0.6642335766423357,0.6086956521739131,0.8888888888888888,0.6352530541012217,0.861125248412583,0.67287691648195,0.24312333629103816,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,5,train,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.3094388999743387,0.023157099960371852,0,32,0.4045655491941923,0.810930576070901,769,600,596,259,3053,0.8103371783496007,0.7117358788554441,0.6984866123399301,0.5016722408026756,0.9217995169082126,0.583941605839416,0.8483484097555459,0.6731911111378139,0.19055013309671695,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(16) activation=relu alpha=0.0001 seed=42,5,validation,(16),relu,0.0001,0.001,64,500,True,0.15,20,42,0.3094388999743387,0.023157099960371852,0,32,0.4045655491941923,0.810930576070901,769,142,157,56,771,0.8108348134991119,0.7036008783813841,0.7171717171717171,0.47491638795986624,0.932285368802902,0.5714285714285714,0.8513707521646114,0.6577552468378485,0.17584369449378331,0.2655417406749556
shallow_relu_screen,MLPClassifier hidden=(32) activation=relu alpha=0.0001 seed=42,1,train,(32),relu,0.0001,0.001,64,500,True,0.15,20,42,0.25564789993222803,0.019134400063194335,0,25,0.3902965107428603,0.794682422451994,1537,663,533,325,2986,0.8096294652762369,0.7280950848948826,0.6710526315789473,0.5543478260869565,0.9018423437028088,0.6071428571428571,0.8458499286355707,0.6628520680970246,0.2192145551364544,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(32) activation=relu alpha=0.0001 seed=42,1,validation,(32),relu,0.0001,0.001,64,500,True,0.15,20,42,0.25564789993222803,0.019134400063194335,0,25,0.3902965107428603,0.794682422451994,1537,162,137,86,742,0.8021295474711624,0.7189706428836864,0.6532258064516129,0.5418060200668896,0.8961352657004831,0.5923217550274223,0.8428578352963987,0.6422552410330369,0.22005323868677906,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(32) activation=relu alpha=0.0001 seed=42,2,train,(32),relu,0.0001,0.001,64,500,True,0.15,20,42,0.2541147000156343,0.01752130000386387,0,25,0.3920482238749097,0.8257016248153619,1537,704,492,351,2960,0.8129576214777013,0.7413092468704199,0.6672985781990521,0.5886287625418061,0.8939897311990336,0.6254997778764994,0.8511650129445882,0.671495794014838,0.23408031950299535,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(32) activation=relu alpha=0.0001 seed=42,2,validation,(32),relu,0.0001,0.001,64,500,True,0.15,20,42,0.2541147000156343,0.01752130000386387,0,25,0.3920482238749097,0.8257016248153619,1537,152,147,105,723,0.7763975155279503,0.6907748049052397,0.5914396887159533,0.5083612040133779,0.8731884057971014,0.5467625899280576,0.8234957911233903,0.6290785501310171,0.22803904170363798,0.2653061224489796
shallow_relu_screen,MLPClassifier hidden=(32) activation=relu alpha=0.0001 seed=42,3,train,(32),relu,0.0001,0.001,64,500,True,0.15,20,42,0.4426826999988407,0.017705700010992587,0,37,0.38031002022357796,0.7843426883308715,1537,660,536,312,2999,0.8118482360772132,0.7288040574188197,0.6790123456790124,0.5518394648829431,0.9057686499546964,0.6088560885608856,0.8596829106181987,0.6783349025111891,0.21566452185489238,0.2653649877967606
shallow_relu_screen,MLPClassifier hidden=(32) activation=relu alpha=0.0001 seed=42,3,validation,(32),relu,0.0001,0.001,64,500,True,0.15,20,42,0.4426826999988407,0.017705700010992587,0,37,0.38031002022357796,0.7843426883308715,1537,164,135,79,749,0.8101153504880213,0.7265421776291341,0.6748971193415638,0.5484949832775919,0.9045893719806763,0.6051660516605166,0.8430153652270855,0.6841133631620443,0.21561668145519078,0.2653061224489796
