model,oob_score_accuracy,oob_valid_observations,oob_pr_auc,oob_roc_auc
Best bagged trees,0.8012069577564785,5634,0.6598681320364244,0.8446014378281151
Best random forest,0.8017394391196309,5634,0.6629798265447344,0.8469403932412221
