selected_variant,model,n_estimators,max_samples,base_max_depth,base_min_samples_leaf,test_pr_auc_mean,test_roc_auc_mean,test_balanced_accuracy_mean,test_f1_mean,max_depth,min_samples_leaf,max_features
best_bagging_grid_candidate,Bagging trees=200 samples=0.8 depth=6 leaf=1,200,0.8,6,1.0,0.6680738683551415,0.8470579227977229,0.7053329720592221,0.5720738120328113,,,
best_random_forest_grid_candidate,Random forest trees=200 depth=10 leaf=10 max_features=sqrt,200,,,,0.6635663252924062,0.8469606516187754,0.7060679222290074,0.573927903552261,10,10.0,sqrt
