model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,C,penalty,class_weight
Logistic L2 C=0.001,329,1166,93,4046,0.7765353212637558,0.5987988470871335,0.7796208530805687,0.22006688963210702,0.9775308045421599,0.34324465310380803,0.8388564280871811,0.6513156029058096,0.07490237841675541,0.2653532126375577,0.001,l2,none
Logistic L2 C=0.01,764,731,369,3770,0.8047568335108272,0.7109424101115016,0.6743159752868491,0.5110367892976588,0.9108480309253443,0.5814307458143074,0.8429732352587063,0.6561844611841953,0.20110046148384805,0.2653532126375577,0.01,l2,none
Logistic L2 C=0.1,805,690,429,3710,0.8013844515441959,0.7174066571263962,0.6523500810372771,0.5384615384615384,0.8963517757912539,0.5899596921949432,0.8449477641910177,0.6576478015008146,0.21902733404330849,0.2653532126375577,0.1,l2,none
Logistic L2 C=1,813,682,434,3705,0.8019169329073482,0.7194782317800901,0.6519647153167603,0.5438127090301004,0.8951437545300798,0.5929978118161926,0.845605832762991,0.6584246593526663,0.22133475328363508,0.2653532126375577,1.0,l2,none
Logistic L2 C=10,821,674,431,3708,0.80386936457224,0.7225162234427231,0.6557507987220448,0.5491638795986622,0.8958685672867842,0.5977429923552967,0.8458705469871789,0.6578991296220358,0.2222222222222222,0.2653532126375577,10.0,l2,none
Logistic L2 C=100,822,673,433,3706,0.8036918707845225,0.7226090673510235,0.6549800796812749,0.5498327759197325,0.8953853587823146,0.5978181818181818,0.8458813747362757,0.6571816769595069,0.22275470358537452,0.2653532126375577,100.0,l2,none
