model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
Selected LinearSVC,1206,289,1147,2992,0.7451189208377706,0.7647844429486708,0.5125371865703358,0.8066889632107024,0.7228799226866393,0.6268191268191268,0.8447520566662977,0.6565157407289449,0.4176428824991125,0.2653532126375577
Selected RBF SVC,1246,249,1410,2729,0.7055378061767839,0.7463914102011941,0.4691265060240964,0.8334448160535117,0.6593380043488766,0.6003372681281619,0.8382591241967063,0.6425503051779227,0.4714235001774938,0.2653532126375577
