epoch,training_loss,internal_validation_accuracy
1,0.5851324266935526,0.7789598108747045
2,0.4470941436225103,0.7990543735224587
3,0.4244831013837545,0.8037825059101655
4,0.41819418684598175,0.8026004728132388
5,0.4145209730116754,0.7990543735224587
6,0.41200823275696613,0.8014184397163121
7,0.4112134184965881,0.8014184397163121
8,0.4093695226797401,0.793144208037825
9,0.40915350290060465,0.8037825059101655
10,0.4082791412403246,0.8026004728132388
11,0.40678513731114546,0.7919621749408984
12,0.4073642266542492,0.7919621749408984
13,0.40591340099303624,0.7966903073286052
14,0.4053535486863568,0.8002364066193853
15,0.4048128656860061,0.8037825059101655
16,0.4052478516157612,0.7919621749408984
17,0.40405529633575,0.8073286052009456
18,0.4038253770381973,0.8096926713947991
19,0.40430501460901513,0.789598108747045
20,0.4029419054650967,0.7990543735224587
21,0.4023684674430794,0.8108747044917257
22,0.40232703836434125,0.8037825059101655
23,0.40270638341744774,0.8049645390070922
24,0.40119088424145477,0.8085106382978723
25,0.4011646362730238,0.806146572104019
26,0.40099382223734753,0.806146572104019
27,0.4008906332811972,0.806146572104019
28,0.40052720425931154,0.8049645390070922
29,0.3998569212250703,0.806146572104019
30,0.39955850923003705,0.8037825059101655
31,0.39889579924942953,0.8014184397163121
32,0.3994400218570839,0.8108747044917257
33,0.398788307407147,0.8037825059101655
34,0.3981000807458616,0.7990543735224587
35,0.39772629886971494,0.8014184397163121
36,0.3980102216700811,0.8073286052009456
37,0.39698391548428325,0.806146572104019
38,0.39726097857802734,0.8026004728132388
39,0.3971413100854871,0.789598108747045
40,0.3967513554976617,0.793144208037825
41,0.39641395519330946,0.8014184397163121
42,0.3960466391937557,0.7943262411347518
