model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
Logistic L1 C=1,0.8024494142705005,0.7196269921240246,0.6537842190016103,0.5431438127090301,0.8961101715390191,0.5933503836317136,0.8455274527881858,0.6589738903612702,0.22044728434504793,0.2653532126375577
Logistic L2 C=1,0.8019169329073482,0.7194782317800901,0.6519647153167603,0.5438127090301004,0.8951437545300798,0.5929978118161926,0.845605832762991,0.6584246593526663,0.22133475328363508,0.2653532126375577
Logistic L2 balanced C=1,0.7484913028044018,0.7653705150695602,0.5168248490077653,0.8013377926421404,0.72940323749698,0.6283766063467087,0.8455019186933007,0.6569098660032955,0.4114305999290025,0.2653532126375577
RidgeClassifier alpha=1,0.8013844515441959,0.711851860231536,0.6590524534686971,0.5210702341137123,0.9026334863493598,0.5819947702652223,0.8384716389737557,0.6494373460309932,0.20979765708200213,0.2653532126375577
