model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
LinearSVC squared hinge C=1,800,695,416,3723,0.8028044018459354,0.717304843963247,0.6578947368421053,0.5351170568561873,0.8994926310703069,0.5901881224640354,0.8423418320389863,0.6536941720187008,0.21583244586439473,0.2653532126375577
SVC RBF C=1 gamma=0.01,727,768,360,3779,0.7997870074547391,0.699655047306759,0.6688132474701012,0.4862876254180602,0.9130224691954578,0.5631293570875291,0.8347719425547508,0.6522008700929003,0.1929357472488463,0.2653532126375577
LinearSVC hinge C=1,798,697,435,3704,0.7990770323038694,0.7143407072459459,0.6472019464720195,0.5337792642140469,0.8949021502778449,0.5850439882697948,0.8335870312655296,0.6482605511692298,0.21884984025559107,0.2653532126375577
SVC linear C=1,798,697,434,3705,0.7992545260915868,0.7144615093720633,0.6477272727272727,0.5337792642140469,0.8951437545300798,0.5852585258525853,0.8335219031627531,0.6481456285821436,0.21867234646787362,0.2653532126375577
SVC polynomial degree=2 C=1,755,740,346,3793,0.8072417465388712,0.7107108255673862,0.6857402361489555,0.5050167224080268,0.9164049287267456,0.5816640986132512,0.8184661604559291,0.6462674255063137,0.1954206602768903,0.2653532126375577
