family,model,test_pr_auc_mean,test_roc_auc_mean,test_balanced_accuracy_mean,test_f1_mean,train_pr_auc_mean,fit_time_mean
CatBoost native categorical,CatBoost native iter=100 lr=0.1 depth=4 l2=3,0.67278530728876,0.8504961804523159,0.717001496771225,0.5908936820433341,0.692503622411362,4.522576332092285
GradientBoostingClassifier,GradientBoosting trees=200 lr=0.03 depth=3 leaf=10 subsample=0.8,0.672410293972305,0.8508382010682671,0.7194355361617861,0.5945427918579191,0.7264273418624703,1.052771806716919
XGBoost,XGBoost trees=100 lr=0.1 depth=2 child=5 sub=0.8 col=1.0,0.6723922384477303,0.8503227876341803,0.721850703024143,0.5976474376692293,0.6999478674040264,0.08852124214172363
LightGBM native categorical,LightGBM native trees=100 lr=0.03 leaves=15 child=25 sub=0.8 col=1.0 l2=1.0,0.6690803257948834,0.8500536978130393,0.7107954793105415,0.5809508560253955,0.7314530068320384,0.13520421981811523
AdaBoost,AdaBoost depth=2 trees=200 lr=0.3,0.6654277333165953,0.8478406081556946,0.7182369508824479,0.5919345906523674,0.68194506699969,1.1364185810089111
HistGradientBoostingClassifier,HistGradientBoosting iter=200 lr=0.03 leaves=15 min_leaf=10 l2=1.0,0.6646374952120736,0.8488205177828547,0.7189890211313902,0.5934095007425921,0.7643394035226753,0.6011717319488525
