model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
Best bagged trees,753,742,385,3754,0.7999645012424565,0.7053306463277366,0.6616871704745168,0.5036789297658862,0.9069823628895869,0.5719711355867831,0.8460302966884057,0.661791908057758,0.2019879304224352,0.2653532126375577
Best random forest,744,751,354,3785,0.80386936457224,0.7060654787925605,0.6775956284153005,0.49765886287625416,0.9144720947088669,0.5738526802930968,0.8465067984527632,0.6601831936488521,0.19488817891373802,0.2653532126375577
Selected single decision tree,769,726,463,3676,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.823687398035329,0.6284711600442233,0.21867234646787362,0.2653532126375577
"Default random forest, 100 estimators",727,768,429,3710,0.7875399361022364,0.6913197006046571,0.6288927335640139,0.4862876254180602,0.8963517757912539,0.5484722746133535,0.8210574670662699,0.6083686172473882,0.20518281860134896,0.2653532126375577
