model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,alpha
BernoulliNB categorical only alpha=0.01,1217,278,1292,2847,0.721334753283635,0.7509470644275312,0.48505380629732964,0.8140468227424749,0.6878473061125876,0.6078921078921079,0.8150599445199065,0.5955659841243925,0.4453319133830316,0.2653532126375577,0.01
BernoulliNB categorical only alpha=0.05,1217,278,1292,2847,0.721334753283635,0.7509470644275312,0.48505380629732964,0.8140468227424749,0.6878473061125876,0.6078921078921079,0.815059782911711,0.5955670317952919,0.4453319133830316,0.2653532126375577,0.05
BernoulliNB categorical only alpha=0.1,1217,278,1292,2847,0.721334753283635,0.7509470644275312,0.48505380629732964,0.8140468227424749,0.6878473061125876,0.6078921078921079,0.815060752560884,0.5955726388691107,0.4453319133830316,0.2653532126375577,0.1
BernoulliNB categorical only alpha=0.5,1217,278,1293,2846,0.7211572594959177,0.7508262623014138,0.4848605577689243,0.8140468227424749,0.6876057018603527,0.6077403245942572,0.8150534801920875,0.5955545343032458,0.44550940717074905,0.2653532126375577,0.5
BernoulliNB categorical only alpha=1.0,1217,278,1294,2845,0.7209797657082002,0.7507054601752964,0.4846674631620868,0.8140468227424749,0.6873640976081179,0.6075886170743884,0.8150394202790812,0.5955290828670307,0.44568690095846647,0.2653532126375577,1.0
BernoulliNB categorical only alpha=2.0,1218,277,1294,2845,0.7211572594959177,0.7510399083358315,0.48487261146496813,0.8147157190635451,0.6873640976081179,0.6079361118043424,0.8150239058923155,0.5955034969815408,0.4458643947461839,0.2653532126375577,2.0
BernoulliNB categorical only alpha=5.0,1221,274,1295,2844,0.7215122470713525,0.7519224506913195,0.4852941176470588,0.8167224080267559,0.687122493355883,0.6088257292445775,0.8149836654516424,0.5955173892686328,0.4465743698970536,0.2653532126375577,5.0
BernoulliNB categorical only alpha=10.0,1221,274,1299,2840,0.7208022719204827,0.7514392421868499,0.4845238095238095,0.8167224080267559,0.6861560763469438,0.6082191780821918,0.8149025381375141,0.5953930841594157,0.4472843450479233,0.2653532126375577,10.0
