threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1478,17,3059,1080,0.45402910898118565,0.6247806774777163,0.3257659246197928,0.988628762541806,0.2609325924136265,0.490053050397878,0.8052893148739794,0.2653532126375577
0.1,1445,50,2540,1599,0.5402910898118566,0.6764401916349982,0.36260978670012545,0.9665551839464883,0.3863251993235081,0.5273722627737226,0.7073127440539582,0.2653532126375577
0.15,1398,97,2144,1995,0.6022364217252396,0.7085587700323459,0.39469226425748166,0.9351170568561873,0.48200048320850447,0.5550923168552709,0.6286829960951367,0.2653532126375577
0.2,1362,133,1835,2304,0.650692225772098,0.7338464932233644,0.42602439787300594,0.9110367892976589,0.5566561971490698,0.5805626598465473,0.5674476393326233,0.2653532126375577
0.25,1289,206,1544,2595,0.6893858714944977,0.7445851962044698,0.4549947052594423,0.8622073578595317,0.626963034549408,0.5956561922365989,0.5028399006034788,0.2653532126375577
0.3,1233,262,1323,2816,0.7186723464678736,0.7525533690864531,0.4823943661971831,0.8247491638795986,0.6803575742933076,0.6087385830659097,0.4536741214057508,0.2653532126375577
0.35,1181,314,1131,3008,0.7435214767483138,0.7583560729531716,0.5108131487889274,0.7899665551839465,0.7267455907223968,0.6204360388757552,0.4103656372026979,0.2653532126375577
0.4,1110,385,914,3225,0.7694355697550586,0.7608243149226583,0.5484189723320159,0.7424749163879598,0.7791737134573569,0.6308610400682012,0.3592474263400781,0.2653532126375577
0.45,994,501,713,3426,0.7845225417110401,0.7463095556501862,0.5823081429408319,0.6648829431438127,0.8277361681565596,0.6208619612742037,0.3029818956336528,0.2653532126375577
0.5,854,641,530,3609,0.7921547745828896,0.7215936022547575,0.6170520231213873,0.57123745819398,0.8719497463155351,0.5932615491490101,0.24565140220092296,0.2653532126375577
0.55,738,757,395,3744,0.7955271565495208,0.6991059026585357,0.6513680494263019,0.4936454849498328,0.9045663203672385,0.5616438356164384,0.20110046148384805,0.2653532126375577
0.6,602,893,270,3869,0.793574724884629,0.6687212185904372,0.6903669724770642,0.40267558528428093,0.9347668518965934,0.5086607520067596,0.15477458288959886,0.2653532126375577
0.65,451,1044,170,3969,0.7845225417110401,0.6302997589613765,0.7262479871175523,0.3016722408026756,0.9589272771200773,0.42627599243856334,0.11022364217252396,0.2653532126375577
0.7,282,1213,95,4044,0.7678381256656017,0.5828381792897481,0.7480106100795756,0.18862876254180602,0.9770475960376903,0.30128205128205127,0.06691515796947106,0.2653532126375577
0.75,110,1385,29,4110,0.7490237841675541,0.5332860360014577,0.7913669064748201,0.07357859531772576,0.9929934766851897,0.1346389228886169,0.024671636492722755,0.2653532126375577
0.8,32,1463,5,4134,0.7394391196308129,0.5100983305065366,0.8648648648648649,0.02140468227424749,0.9987919787388259,0.04177545691906005,0.006567270145544906,0.2653532126375577
0.85,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
0.9,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
0.95,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.0,0.2653532126375577
