stage,model,architecture,activation,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,random_state,validation_accuracy_mean,validation_accuracy_std,train_accuracy_mean,train_accuracy_std,validation_balanced_accuracy_mean,validation_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_std,validation_precision_mean,validation_precision_std,train_precision_mean,train_precision_std,validation_recall_mean,validation_recall_std,train_recall_mean,train_recall_std,validation_specificity_mean,validation_specificity_std,train_specificity_mean,train_specificity_std,validation_f1_mean,validation_f1_std,train_f1_mean,train_f1_std,validation_roc_auc_mean,validation_roc_auc_std,train_roc_auc_mean,train_roc_auc_std,validation_pr_auc_mean,validation_pr_auc_std,train_pr_auc_mean,train_pr_auc_std,validation_predicted_positive_rate_mean,validation_predicted_positive_rate_std,train_predicted_positive_rate_mean,train_predicted_positive_rate_std,fit_time_seconds_mean,fit_time_seconds_std,score_time_seconds_mean,score_time_seconds_std,n_iter_mean,n_iter_std,final_loss_mean,final_loss_std,best_internal_validation_accuracy_mean,best_internal_validation_accuracy_std,trainable_parameter_count_mean,trainable_parameter_count_std,convergence_warning_count_mean,convergence_warning_count_std,convergence_warning_fold_count,validation_pr_auc_train_gap
depth_comparison,"MLPClassifier hidden=(64, 32) activation=relu alpha=0.001 seed=42","(64, 32)",relu,0.001,0.001,64,500,True,0.15,20,42,0.8028069301703228,0.010683902240719988,0.8103037983505497,0.008963755612345567,0.7170923545141514,0.02060997195232004,0.7252933667557026,0.013011322941615933,0.6577000988318684,0.019225487435060414,0.6777123246033374,0.021471905686778498,0.5344481605351171,0.043266786966678884,0.5441471571906356,0.024579095687857,0.8997365484931859,0.0069285272701823395,0.9064395763207695,0.008276899895278134,0.5890818655198685,0.0317122020900618,0.6033764528421831,0.020864712516788186,0.8407463754733249,0.014180710879273264,0.8516552203962906,0.010558890981630091,0.6523418212660131,0.019569214073342087,0.6743013578292778,0.022191715631133594,0.21547751697790862,0.01416880289811707,0.213125062876657,0.008859205547533085,0.4789801599923521,0.07350271975623902,0.024445359990932048,0.0035666775016141602,26.0,4.242640687119285,0.36530749877744184,0.009659597534266833,0.8156573116691284,0.01661726571394414,5121.0,0.0,0.0,0.0,0,0.02195953656326466
depth_comparison,"MLPClassifier hidden=(32, 16) activation=relu alpha=0.001 seed=42","(32, 16)",relu,0.001,0.001,64,500,True,0.15,20,42,0.8028053541286775,0.008213751076555637,0.8135431545014568,0.004929644816430889,0.7121754880008915,0.018126372345784736,0.7279258174417427,0.011738338960691798,0.6647077231232482,0.01828779230264511,0.6905687412136037,0.029418164692244134,0.5190635451505017,0.04248413246341246,0.5454849498327758,0.040212436855424194,0.9052874308512813,0.010247676711445535,0.9103666850507095,0.018522781174309295,0.5819328214877102,0.02826132527248105,0.6075409791945716,0.016450622909265075,0.8443534909713024,0.010474610071197096,0.8584403119960007,0.0035709253604282545,0.6507304627185883,0.019628612216081757,0.6782625809857408,0.010670763185314826,0.20731771896340584,0.01735152932022523,0.21059474869910538,0.023943576329535147,0.4258553999941796,0.06553850149080671,0.020206680009141564,0.0010705783128791267,32.0,3.794733192202055,0.37455670029615323,0.00923130064594695,0.812407680945347,0.01964049647101292,2049.0,0.0,0.0,0.0,0,0.027532118267152517
