model,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate,C,penalty,class_weight
Logistic L1 C=0.001,0,1495,0,4139,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.4999033582991061,0.2653155404866952,0.0,0.2653532126375577,0.001,l1,none
Logistic L1 C=0.01,622,873,288,3851,0.7939297124600639,0.6732357435310259,0.6835164835164835,0.4160535117056856,0.9304179753563663,0.5172557172557173,0.8250772285164125,0.6315716610735349,0.1615193468228612,0.2653532126375577,0.01,l1,none
Logistic L1 C=0.1,789,706,415,3724,0.8010294639687611,0.7137467163234782,0.6553156146179402,0.5277591973244147,0.8997342353225417,0.5846609855502037,0.8441171788703747,0.6577710988264491,0.21370252041178558,0.2653532126375577,0.1,l1,none
Logistic L1 C=1,812,683,430,3709,0.8024494142705005,0.7196269921240246,0.6537842190016103,0.5431438127090301,0.8961101715390191,0.5933503836317136,0.8455274527881858,0.6589738903612702,0.22044728434504793,0.2653532126375577,1.0,l1,none
Logistic L1 C=10,820,675,433,3706,0.8033368832090877,0.7219401710299533,0.6544293695131684,0.5484949832775919,0.8953853587823146,0.5967976710334789,0.8458282056399644,0.6578580221291126,0.22239971600993966,0.2653532126375577,10.0,l1,none
