model,tp,fn,fp,tn
Representative XGBoost,806,689,395,3744
Selected bagged trees,753,742,385,3754
Selected L2 logistic regression,813,682,434,3705
Selected LinearSVC,1206,289,1147,2992
Selected MLPClassifier,769,726,384,3755
Selected decision tree,769,726,463,3676
Selected kNN,854,641,530,3609
