model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
EDA-inspired rule,0.6075612353567625,0.7032097003703252,0.39556592765460913,0.9070234113712374,0.49939598936941293,0.5508836075563681,0.8109214818501875,0.5434680639181126,0.6084487042953497,0.2653532126375577
Dummy: stratified random,0.61395101171459,0.5065176585234991,0.27483443708609273,0.27759197324414714,0.7354433438028509,0.2762063227953411,0.5065176585234991,0.26798512444099715,0.26801561945331914,0.2653532126375577
Dummy: uniform random,0.5051473198438055,0.505746545018791,0.2698469206123176,0.5070234113712374,0.5044696786663445,0.35223048327137546,0.5,0.2653532126375577,0.4985800496982606,0.2653532126375577
Dummy: majority class,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.5,0.2653532126375577,0.0,0.2653532126375577
Dummy: prior probability,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.4999033582991061,0.2653155404866952,0.0,0.2653532126375577
