model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
Best pre-pruned decision tree,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.823687398035329,0.6284711600442233,0.21867234646787362,0.2653532126375577
Selected decision tree,0.7889598864039759,0.7012592510591398,0.6241883116883117,0.51438127090301,0.8881372312152694,0.563989732306564,0.823687398035329,0.6284711600442233,0.21867234646787362,0.2653532126375577
Best cost-complexity-pruned decision tree,0.7900248491302805,0.7101026131237167,0.619815668202765,0.539799331103679,0.8804058951437546,0.5770468358956025,0.8219219093038644,0.6154270647984195,0.23109691160809373,0.2653532126375577
Decision stump max_depth=1,0.7346467873624423,0.5,0.0,0.0,1.0,0.0,0.7261310755591038,0.41270569448982497,0.0,0.2653532126375577
Default decision tree,0.7250621228257011,0.6479427680736546,0.482,0.4836120401337793,0.8122734960135298,0.48280467445742903,0.6481083356699185,0.37057074790766326,0.26624068157614483,0.2653532126375577
