threshold,tp,fn,fp,tn,accuracy,balanced_accuracy,precision,recall,specificity,f1,predicted_positive_rate,observed_positive_rate
0.05,1468,27,2670,1469,0.5212992545260916,0.6684282229320413,0.35476075398743356,0.9819397993311036,0.354916646532979,0.5212142730339073,0.7344692935747249,0.2653532126375577
0.1,1421,74,2220,1919,0.5928292509762159,0.7070701161397297,0.3902773963196924,0.9505016722408027,0.46363856003865667,0.5533489096573209,0.6462548810791622,0.2653532126375577
0.15,1350,145,1742,2397,0.6650692225772098,0.7410677130258629,0.43661060802069857,0.903010033444816,0.5791253926069099,0.5886200130804448,0.5488107916222932,0.2653532126375577
0.2,1292,203,1424,2715,0.7112176073837416,0.7600847958201656,0.47569955817378495,0.8642140468227425,0.6559555448175888,0.6136309665162669,0.4820731274405396,0.2653532126375577
0.25,1222,273,1196,2943,0.7392616258430955,0.7642163093374792,0.5053763440860215,0.8173913043478261,0.7110413143271321,0.6245847176079734,0.4291799787007455,0.2653532126375577
0.3,1152,343,1007,3132,0.7603833865814696,0.7636365399362133,0.5335803612783696,0.7705685618729097,0.7567045179995168,0.6305418719211823,0.3832090876819311,0.2653532126375577
0.35,1081,414,817,3322,0.7815051473198438,0.7628431245005296,0.5695468914646997,0.7230769230769231,0.8026093259241363,0.63719422340112,0.33688320908768193,0.2653532126375577
0.4,988,507,645,3494,0.7955271565495208,0.75251741126296,0.605021432945499,0.6608695652173913,0.8441652573085286,0.6317135549872123,0.289847355342563,0.2653532126375577
0.45,879,616,502,3637,0.8015619453319134,0.7333372657994233,0.6364952932657495,0.5879598662207358,0.8787146653781106,0.6112656467315716,0.24511892083777068,0.2653532126375577
0.5,753,742,385,3754,0.7999645012424565,0.7053306463277366,0.6616871704745168,0.5036789297658862,0.9069823628895869,0.5719711355867831,0.2019879304224352,0.2653532126375577
0.6,510,985,192,3947,0.791089811856585,0.647374553658365,0.7264957264957265,0.3411371237458194,0.9536119835709108,0.4642694583522986,0.12460063897763578,0.2653532126375577
0.7,333,1162,70,4069,0.7813276535321264,0.6029150886299746,0.826302729528536,0.22274247491638796,0.9830877023435612,0.35089567966280294,0.07152999645012424,0.2653532126375577
