random_state,architecture,activation,alpha,pooled_oof_pr_auc,pooled_oof_roc_auc,pooled_oof_balanced_accuracy,pooled_oof_f1,note
7,(16),relu,0.001,0.6536309112078487,0.8427710634061675,0.7163025499349123,0.5896953742008274,additional-seed pooled OOF diagnostic
19,(16),relu,0.001,0.6502004164049482,0.8420695222296113,0.7166828948229622,0.5897244973938943,additional-seed pooled OOF diagnostic
42,(16),relu,0.001,0.654419667981394,0.8424667551740885,0.7108026190224159,0.5808157099697885,selection-seed pooled OOF diagnostic
2026,(16),relu,0.001,0.6554468377152038,0.8440175474178646,0.7157075085591741,0.5882792086599478,additional-seed pooled OOF diagnostic
