model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,predicted_positive_rate,observed_positive_rate
Hybrid Gaussian-BernoulliNB alpha=1,0.7268370607028753,0.7529827620618297,0.4910641754670999,0.808695652173913,0.6972698719497463,0.6110689916603488,0.8221590693307239,0.6148666295031091,0.4369897053603124,0.2653532126375577
GaussianNB full transformed,0.6977280795172169,0.7455626833747993,0.46207148067104303,0.8474916387959867,0.643633727953612,0.598064668397451,0.8192355770745846,0.6048698736188025,0.48668796592119273,0.2653532126375577
BernoulliNB categorical only alpha=1,0.7209797657082002,0.7507054601752964,0.4846674631620868,0.8140468227424749,0.6873640976081179,0.6075886170743884,0.8150394202790812,0.5955290828670307,0.44568690095846647,0.2653532126375577
GaussianNB numeric only,0.7644657436989706,0.6956981514446561,0.5569877883310719,0.5491638795986622,0.84223242329065,0.5530481643651061,0.7743850202131451,0.5837796192987427,0.26162584309549164,0.2653532126375577
